mode,RoseTTAFold2NA,AlphaFold 3,Side of the preferred DNA
orient_1_2,1.9611841673751263e-05,0.06629133125279607,left
orient_1_3,0.0008881371170898862,0.005726861906884234,left
orient_1_4,0.0017105290774106707,0.0985236274022573,left
spac_m1,0.00044531067691715805,0.27124833775940455,left
spac_m2,0.001424496094649118,0.08219306855694346,left
spac_p1,0.005726861906884234,0.7140263124847865,left
spac_p2,4.693404946065789e-07,0.0985236274022573,left
orient_1_2,0.016786329118478174,0.35935826390511194,right
orient_1_3,3.2837572373979797e-06,0.5824937911572262,right
orient_1_4,0.016786329118478174,0.8546300421797669,right
spac_m1,3.2837572373979797e-06,0.0017105290774106707,right
spac_m2,9.43985778811796e-08,0.18428587288036513,right
spac_p1,0.06629133125279607,0.27124833775940455,right
spac_p2,0.04326826257460883,0.00044531067691715805,right
